,Country,Economy,Healthy,Social,Freedom,Corruption,Generosity,Score
0,Switzerland,1.3965100000000001,0.9414299999999999,1.34951,0.66557,0.41978000000000004,0.29678000000000004,7.587000000000001
1,Iceland,1.3023200000000001,0.94784,1.4022299999999999,0.6287699999999999,0.14145,0.4363,7.561
2,Denmark,1.32548,0.87464,1.36058,0.6493800000000001,0.48357,0.34139,7.527
3,Norway,1.459,0.88521,1.33095,0.66973,0.36503,0.34699,7.522
4,Canada,1.32629,0.9056299999999999,1.32261,0.63297,0.32957,0.45811,7.4270000000000005
5,Finland,1.29025,0.8891100000000001,1.31826,0.64169,0.41372,0.23351,7.406000000000001
6,Netherlands,1.32944,0.89284,1.28017,0.6157600000000001,0.31814000000000003,0.4761,7.377999999999999
7,Sweden,1.33171,0.9108700000000001,1.2890700000000002,0.6598,0.43843999999999994,0.36262,7.364
8,New Zealand,1.2501799999999998,0.9083700000000001,1.3196700000000001,0.6393800000000001,0.42922,0.47501000000000004,7.2860000000000005
9,Australia,1.33358,0.93156,1.30923,0.6512399999999999,0.35636999999999996,0.43562,7.284
10,Israel,1.2285700000000002,0.9138700000000001,1.22393,0.41318999999999995,0.07785,0.33171999999999996,7.278
11,Costa Rica,0.95578,0.8602700000000001,1.2378799999999999,0.63376,0.10583,0.25497,7.226
12,Austria,1.33723,0.8904200000000001,1.29704,0.62433,0.18675999999999998,0.33088,7.2
13,Mexico,1.02054,0.8144399999999999,0.91451,0.48181,0.21311999999999998,0.14074,7.187
14,United States,1.3945100000000001,0.86179,1.24711,0.54604,0.1589,0.40105,7.119
15,Brazil,0.98124,0.69702,1.2328700000000001,0.49049,0.17521,0.14574,6.983
16,Luxembourg,1.5639100000000001,0.91894,1.21963,0.61583,0.37798000000000004,0.28034000000000003,6.946000000000001
17,Ireland,1.33596,0.89533,1.36948,0.6177699999999999,0.28703,0.45901000000000003,6.94
18,Belgium,1.30782,0.8966700000000001,1.28566,0.5845,0.2254,0.2225,6.937
19,United Arab Emirates,1.42727,0.80925,1.12575,0.64157,0.38583,0.26428,6.901
20,United Kingdom,1.26637,0.90943,1.28548,0.59625,0.32066999999999996,0.51912,6.867000000000001
21,Oman,1.36011,0.76276,1.08182,0.63274,0.32524000000000003,0.21541999999999997,6.853
22,Venezuela,1.04424,0.7205199999999999,1.25596,0.42908,0.11069000000000001,0.058410000000000004,6.81
23,Singapore,1.52186,1.02525,1.02,0.54252,0.4921,0.31105,6.797999999999999
24,Panama,1.0635299999999999,0.79661,1.1985,0.5421,0.0927,0.24434,6.7860000000000005
25,Germany,1.32792,0.89186,1.2993700000000001,0.6147699999999999,0.21843,0.28214,6.75
26,Chile,1.10715,0.85857,1.12447,0.44132,0.12869,0.33363000000000004,6.67
27,Qatar,1.69042,0.79733,1.0786,0.6404,0.52208,0.32573,6.611000000000001
28,France,1.27778,0.9457899999999999,1.2603799999999998,0.55011,0.20646,0.12332,6.575
29,Argentina,1.05351,0.78723,1.24823,0.44974,0.08484,0.11450999999999999,6.574
30,Czech Republic,1.17898,0.84483,1.20643,0.46363999999999994,0.02652,0.10686,6.505
31,Uruguay,1.06166,0.8116,1.2089,0.6036199999999999,0.24558000000000002,0.2324,6.485
32,Colombia,0.91861,0.69077,1.2401799999999998,0.53466,0.0512,0.18400999999999998,6.477
33,Thailand,0.9669,0.7385,1.26504,0.5566399999999999,0.031869999999999996,0.5763,6.455
34,Saudi Arabia,1.39541,0.72025,1.0839299999999998,0.31048000000000003,0.32524000000000003,0.13706,6.4110000000000005
35,Spain,1.23011,0.95562,1.31379,0.45951000000000003,0.06398,0.18227000000000002,6.329
36,Malta,1.2074,0.88721,1.30203,0.60365,0.13585999999999998,0.51752,6.3020000000000005
37,Taiwan,1.29098,0.8753,1.07617,0.3974,0.08129,0.25376,6.297999999999999
38,Kuwait,1.5542200000000002,0.72492,1.16594,0.55499,0.25609,0.16228,6.295
39,Suriname,0.99534,0.6082,0.972,0.5965699999999999,0.13633,0.16990999999999998,6.269
40,Trinidad and Tobago,1.21183,0.61483,1.18354,0.55884,0.0114,0.31844,6.167999999999999
41,El Salvador,0.76454,0.67737,1.0250700000000001,0.4035,0.11775999999999999,0.10692,6.13
42,Guatemala,0.74553,0.64425,1.04356,0.57733,0.09472,0.27489,6.122999999999999
43,Uzbekistan,0.63244,0.59772,1.34043,0.6582100000000001,0.30826,0.22837,6.002999999999999
44,Slovakia,1.1689100000000001,0.7890199999999999,1.26999,0.31751,0.03431,0.16893,5.995
45,Japan,1.27074,0.99111,1.25712,0.49615,0.1806,0.10705,5.987
46,South Korea,1.24461,0.9653799999999999,0.9577399999999999,0.33208000000000004,0.07857,0.18557,5.984
47,Ecuador,0.8640200000000001,0.79075,0.99903,0.48573999999999995,0.1809,0.11540999999999998,5.975
48,Bahrain,1.32376,0.74716,1.21624,0.45492,0.306,0.17362,5.96
49,Italy,1.25114,0.9544600000000001,1.19777,0.26236,0.02901,0.22823000000000002,5.9479999999999995
50,Bolivia,0.68133,0.5392,0.97841,0.57414,0.08800000000000001,0.20536,5.89
51,Moldova,0.59448,0.61826,1.01528,0.32818,0.01615,0.20951,5.888999999999999
52,Paraguay,0.75985,0.66098,1.30477,0.53899,0.08242000000000001,0.3424,5.877999999999999
53,Kazakhstan,1.1225399999999999,0.64368,1.1224100000000001,0.51649,0.08454,0.11827,5.855
54,Slovenia,1.18498,0.8733700000000001,1.27385,0.60855,0.03787,0.25328,5.848
55,Lithuania,1.14723,0.73128,1.25745,0.21341999999999997,0.01031,0.026410000000000003,5.832999999999999
56,Nicaragua,0.59325,0.7431399999999999,1.14184,0.55475,0.19317,0.27815,5.827999999999999
57,Peru,0.9001899999999999,0.73017,0.97459,0.41496000000000005,0.05989,0.14982,5.824
58,Belarus,1.0319200000000002,0.7360800000000001,1.23289,0.37938,0.1909,0.11045999999999999,5.813
59,Poland,1.12555,0.77903,1.27948,0.53122,0.04212,0.16759000000000002,5.791
60,Malaysia,1.12486,0.7239399999999999,1.07023,0.5302399999999999,0.10500999999999999,0.33075,5.77
61,Croatia,1.08254,0.78805,0.79624,0.25883,0.0243,0.054439999999999995,5.7589999999999995
62,Libya,1.13145,0.7038,1.1186200000000002,0.41668,0.11023,0.18295,5.754
63,Russia,1.13764,0.6692600000000001,1.23617,0.36679,0.03005,0.00199,5.716
64,Jamaica,0.81038,0.6874100000000001,1.1510200000000002,0.50442,0.02299,0.2123,5.709
65,North Cyprus,1.2080600000000001,0.92356,1.07008,0.49027,0.1428,0.26169000000000003,5.695
66,Cyprus,1.20813,0.92356,0.89318,0.40671999999999997,0.06146,0.30638000000000004,5.689
67,Algeria,0.93929,0.61766,1.07772,0.28579,0.17382999999999998,0.07822,5.605
68,Kosovo,0.80148,0.63132,0.81198,0.24749000000000002,0.04741,0.2831,5.5889999999999995
69,Turkmenistan,0.95847,0.53886,1.22668,0.4761,0.30844,0.16979,5.547999999999999
70,Mauritius,1.0076100000000001,0.7095,0.98521,0.56066,0.07521,0.37744,5.477
71,Hong Kong,1.38604,1.01328,1.05818,0.59608,0.37124,0.39478,5.474
72,Estonia,1.15174,0.77361,1.22791,0.44888,0.15184,0.0868,5.428999999999999
73,Indonesia,0.8282700000000001,0.63793,1.0870799999999998,0.46611,0.0,0.51535,5.399
74,Vietnam,0.63216,0.7467600000000001,0.9122600000000001,0.59444,0.10440999999999999,0.1686,5.36
75,Turkey,1.06098,0.73172,0.94632,0.22815,0.15746,0.12253,5.332000000000001
76,Kyrgyzstan,0.47428000000000003,0.65088,1.15115,0.43477,0.042319999999999997,0.3003,5.2860000000000005
77,Nigeria,0.65435,0.16007000000000002,0.9043200000000001,0.34334000000000003,0.0403,0.27233,5.268
78,Bhutan,0.77042,0.57407,1.10395,0.5320600000000001,0.15445,0.47998,5.252999999999999
79,Azerbaijan,1.02389,0.64045,0.9379299999999999,0.3703,0.16065,0.07799,5.212000000000001
80,Pakistan,0.59543,0.51466,0.41411000000000003,0.12102,0.10464000000000001,0.33671,5.194
81,Jordan,0.9019799999999999,0.69639,1.05392,0.40660999999999997,0.14293,0.11052999999999999,5.192
82,Montenegro,0.9743799999999999,0.72521,0.9055700000000001,0.1826,0.14296,0.1614,5.192
83,China,0.89012,0.81658,0.94675,0.5169699999999999,0.02781,0.08185,5.14
84,Zambia,0.47038,0.29924,0.91612,0.48827,0.12468,0.19591,5.129
85,Romania,1.04345,0.7689,0.8858799999999999,0.35068,0.006490000000000001,0.13748,5.124
86,Serbia,0.92053,0.74836,1.0096399999999999,0.20107,0.02617,0.19230999999999998,5.122999999999999
87,Portugal,1.15991,0.8751899999999999,1.13935,0.51469,0.01078,0.13719,5.102
88,Latvia,1.11312,0.72437,1.09562,0.29671,0.06332,0.18225999999999998,5.098
89,Philippines,0.70532,0.58114,1.03516,0.62545,0.12279000000000001,0.24991,5.073
90,Somaliland region,0.18847,0.43873,0.95152,0.46581999999999996,0.39928,0.5031800000000001,5.0569999999999995
91,Morocco,0.7347899999999999,0.60954,0.64095,0.41691000000000006,0.08546000000000001,0.07172,5.013
92,Macedonia,0.91851,0.73545,1.00232,0.33457,0.053270000000000005,0.22359,5.007
93,Mozambique,0.08308,0.09131,1.02626,0.34037,0.15603,0.22269,4.971
94,Albania,0.8786700000000001,0.81325,0.8043399999999999,0.35733000000000004,0.06412999999999999,0.14272,4.959
95,Bosnia and Herzegovina,0.8322299999999999,0.79081,0.9191600000000001,0.09245,0.00227,0.24808000000000002,4.949
96,Lesotho,0.37545,0.07612000000000001,1.04103,0.31767,0.12504,0.16388,4.898
97,Dominican Republic,0.8953700000000001,0.66825,1.17202,0.57672,0.14234000000000002,0.21684,4.885
98,Laos,0.5906600000000001,0.54909,0.73803,0.59591,0.24249,0.42191999999999996,4.876
99,Mongolia,0.82819,0.60268,1.3006,0.43626000000000004,0.026660000000000003,0.3323,4.874
100,Swaziland,0.71206,0.07566,1.07284,0.30658,0.0306,0.18259,4.867
101,Greece,1.15406,0.88213,0.9293299999999999,0.07699,0.013969999999999998,0.0,4.857
102,Lebanon,1.0256399999999999,0.83947,0.80001,0.33916,0.04582,0.21854,4.8389999999999995
103,Hungary,1.12094,0.75905,1.20215,0.32111999999999996,0.02758,0.128,4.8
104,Honduras,0.59532,0.6951,0.9534799999999999,0.40148,0.06825,0.23026999999999997,4.788
105,Tajikistan,0.39047,0.5737899999999999,0.8556299999999999,0.47216,0.15072,0.22974,4.7860000000000005
106,Tunisia,0.88113,0.73793,0.60429,0.26268,0.06358,0.06431,4.739
107,Palestinian Territories,0.59867,0.66015,0.92558,0.24499,0.12905,0.11250999999999999,4.715
108,Bangladesh,0.39753,0.60164,0.43106000000000005,0.4082,0.12569,0.21222,4.694
109,Iran,1.0088,0.69805,0.54447,0.30033000000000004,0.058629999999999995,0.38086,4.686
110,Ukraine,0.79907,0.6739,1.20278,0.25123,0.02961,0.15275,4.681
111,Iraq,0.98549,0.60237,0.81889,0.0,0.13788,0.17922000000000002,4.677
112,South Africa,0.9204899999999999,0.27688,1.18468,0.33207,0.08884,0.11972999999999999,4.6419999999999995
113,Ghana,0.5455800000000001,0.40131999999999995,0.6795399999999999,0.42341999999999996,0.04355,0.23087,4.633
114,Zimbabwe,0.271,0.33475,1.0327600000000001,0.25861,0.08079,0.18987,4.61
115,Liberia,0.0712,0.34201,0.78968,0.28531,0.06232000000000001,0.24361999999999998,4.571000000000001
116,India,0.64499,0.5152899999999999,0.38174,0.39786,0.08492000000000001,0.26475,4.565
117,Sudan,0.52107,0.36878,1.01404,0.10081,0.1466,0.19062,4.55
118,Haiti,0.26673,0.38847,0.74302,0.24425,0.17175,0.46187,4.518
119,Congo (Kinshasa),0.0,0.09806000000000001,1.0012,0.22605,0.07625,0.24834,4.5169999999999995
120,Nepal,0.35996999999999996,0.5687399999999999,0.86449,0.38282,0.059070000000000004,0.32295999999999997,4.513999999999999
121,Ethiopia,0.19072999999999998,0.44055,0.60406,0.4345,0.15048,0.24325,4.512
122,Sierra Leone,0.33024000000000003,0.0,0.9557100000000001,0.4084,0.08786000000000001,0.21488000000000002,4.507
123,Mauritania,0.45407,0.35874,0.86908,0.24231999999999998,0.17461,0.21899999999999997,4.436
124,Kenya,0.36471,0.41435,0.99876,0.42215,0.05839,0.37542,4.419
125,Djibouti,0.44025,0.36291,0.59207,0.46074,0.28105,0.18093,4.369
126,Armenia,0.7682100000000001,0.7299,0.7771100000000001,0.19847,0.039,0.07855,4.35
127,Botswana,0.99355,0.047760000000000004,1.10464,0.49495,0.12474,0.10461,4.332
128,Myanmar,0.27108000000000004,0.48246000000000006,0.70905,0.44017,0.19034,0.79588,4.3069999999999995
129,Georgia,0.7419,0.72926,0.38561999999999996,0.40576999999999996,0.38331,0.055470000000000005,4.297
130,Malawi,0.016040000000000002,0.22562,0.41134,0.43054,0.06977,0.33128,4.292
131,Sri Lanka,0.83524,0.70806,1.01905,0.5372600000000001,0.09179,0.40828000000000003,4.271
132,Cameroon,0.4225,0.23401999999999998,0.8876700000000001,0.49309,0.05786,0.20618000000000003,4.252
133,Bulgaria,1.01216,0.76649,1.10614,0.30587,0.00872,0.11921,4.218
134,Egypt,0.8818,0.61712,0.747,0.17288,0.06324,0.11291,4.194
135,Yemen,0.5464899999999999,0.40064,0.68093,0.35570999999999997,0.07854,0.09131,4.077
136,Angola,0.75778,0.16683,0.8604,0.10384000000000002,0.07122,0.12344000000000001,4.033
137,Mali,0.26074,0.20583,1.03526,0.38856999999999997,0.12352,0.18798,3.995
